Loyalty Number,Enrollment Date,Cancellation Date,First_Activity,Last_Activity,Activity_Row_Count
480934,2016-02-01,,2017-01-01,2018-12-01,24.0
549612,2016-03-01,,2017-01-01,2018-12-01,24.0
429460,2014-07-01,2018-01-01,2017-01-01,2018-12-01,24.0
608370,2013-02-01,,2017-01-01,2018-12-01,24.0
530508,2014-10-01,,2017-01-01,2018-12-01,24.0
193662,2012-05-01,,2017-01-01,2018-12-01,24.0
927943,2014-06-01,,2017-01-01,2018-12-01,24.0
188893,2016-12-01,,2017-01-01,2018-12-01,24.0
852392,2015-05-01,,2017-01-01,2018-12-01,24.0
866307,2016-10-01,,2017-01-01,2018-12-01,24.0
932823,2015-03-01,,2017-01-01,2018-12-01,24.0
144514,2016-06-01,,2017-01-01,2018-12-01,24.0
611765,2018-01-01,,2017-01-01,2018-12-01,24.0
988178,2013-10-01,,2017-01-01,2018-12-01,24.0
286114,2016-11-01,,2017-01-01,2018-12-01,24.0
205785,2016-08-01,,2017-01-01,2018-12-01,24.0
735304,2016-12-01,,2017-01-01,2018-12-01,24.0
438936,2013-10-01,,2017-01-01,2018-12-01,24.0
172755,2018-03-01,,2018-02-01,2018-12-01,11.0
354730,2014-10-01,2018-01-01,2017-01-01,2018-12-01,24.0
413741,2015-07-01,,2017-01-01,2018-12-01,24.0
552965,2018-11-01,,2017-01-01,2018-12-01,24.0
642313,2016-03-01,,2017-01-01,2018-12-01,24.0
263080,2014-05-01,,2017-01-01,2018-12-01,24.0
109767,2016-05-01,,2017-01-01,2018-12-01,24.0
217754,2015-06-01,,2017-01-01,2018-12-01,24.0
157005,2016-10-01,,2017-01-01,2018-12-01,24.0
557752,2017-10-01,,2017-01-01,2018-12-01,24.0
608758,2013-07-01,,2017-01-01,2018-12-01,24.0
599341,2015-11-01,,2017-01-01,2018-12-01,24.0
333502,2014-03-01,,2017-01-01,2018-12-01,24.0
201574,2015-04-01,2015-12-01,2017-01-01,2018-12-01,24.0
403361,2017-10-01,,2017-01-01,2018-12-01,24.0
543918,2012-11-01,,2017-01-01,2018-12-01,24.0
806030,2018-05-01,,2017-01-01,2018-12-01,24.0
119200,2017-05-01,,2017-01-01,2018-12-01,24.0
938981,2018-04-01,,2018-02-01,2018-12-01,11.0
238119,2013-05-01,,2017-01-01,2018-12-01,24.0
730388,2012-05-01,,2017-01-01,2018-12-01,24.0
834891,2017-03-01,2017-04-01,2017-01-01,2018-12-01,24.0
127400,2014-06-01,,2017-01-01,2018-12-01,24.0
324557,2013-02-01,,2017-01-01,2018-12-01,24.0
742002,2016-05-01,,2017-01-01,2018-12-01,24.0
536567,2016-05-01,,2017-01-01,2018-12-01,24.0
704835,2016-09-01,,2017-01-01,2018-12-01,24.0
733338,2016-06-01,2017-02-01,2017-01-01,2018-12-01,24.0
758635,2018-06-01,,2017-01-01,2018-12-01,24.0
823048,2018-05-01,,2017-01-01,2018-12-01,24.0
612905,2015-02-01,,2017-01-01,2018-12-01,24.0
679908,2015-08-01,,2017-01-01,2018-12-01,24.0
704150,2014-10-01,,2017-01-01,2018-12-01,24.0
869743,2016-11-01,2017-07-01,2017-01-01,2018-12-01,24.0
596179,2014-03-01,,2017-01-01,2018-12-01,24.0
370450,2012-11-01,,2017-01-01,2018-12-01,24.0
501030,2017-03-01,,2017-01-01,2018-12-01,24.0
878633,2013-12-01,,2017-01-01,2018-12-01,24.0
285938,2014-09-01,,2017-01-01,2018-12-01,24.0
588237,2013-11-01,,2017-01-01,2018-12-01,24.0
645280,2012-12-01,,2017-01-01,2018-12-01,24.0
864324,2018-06-01,,2017-01-01,2018-12-01,24.0
124678,2013-06-01,,2017-01-01,2018-12-01,24.0
186015,2015-09-01,,2017-01-01,2018-12-01,24.0
461108,2018-10-01,,2017-01-01,2018-12-01,24.0
589580,2015-08-01,,2017-01-01,2018-12-01,24.0
623688,2016-05-01,,2017-01-01,2018-12-01,24.0
386082,2018-03-01,2018-11-01,2018-02-01,2018-12-01,11.0
256147,2012-09-01,,2017-01-01,2018-12-01,24.0
329382,2012-08-01,,2017-01-01,2018-12-01,24.0
140392,2013-07-01,,2017-01-01,2018-12-01,24.0
112522,2018-02-01,,2018-02-01,2018-12-01,11.0
230908,2012-05-01,,2017-01-01,2018-12-01,24.0
972581,2016-02-01,,2017-01-01,2018-12-01,24.0
357549,2018-09-01,,2017-01-01,2018-12-01,24.0
330694,2018-02-01,,2018-02-01,2018-12-01,11.0
910875,2012-11-01,,2017-01-01,2018-12-01,24.0
501704,2013-05-01,,2017-01-01,2018-12-01,24.0
529098,2017-10-01,,2017-01-01,2018-12-01,24.0
265297,2018-07-01,,2017-01-01,2018-12-01,24.0
567875,2017-05-01,,2017-01-01,2018-12-01,24.0
688524,2013-03-01,,2017-01-01,2018-12-01,24.0
269070,2013-01-01,,2017-01-01,2018-12-01,24.0
387705,2013-04-01,,2017-01-01,2018-12-01,24.0
923293,2016-06-01,,2017-01-01,2018-12-01,24.0
283314,2013-04-01,2015-02-01,2017-01-01,2018-12-01,24.0
322102,2013-08-01,2014-04-01,2017-01-01,2018-12-01,24.0
789157,2018-09-01,,2017-01-01,2018-12-01,24.0
654748,2017-04-01,2017-12-01,2017-01-01,2018-12-01,24.0
984713,2018-08-01,,2017-01-01,2018-12-01,24.0
114835,2017-07-01,,2017-01-01,2018-12-01,24.0
328936,2015-03-01,,2017-01-01,2018-12-01,24.0
